word,pos,lemma
abilities,NOUN,ability
accessories,NOUN,accessory
accountabilities,NOUN,accountability
activities,NOUN,activity
agencies,NOUN,agency
allies,NOUN,ally
amnesties,NOUN,amnesty
am,VERB,be
analyses,NOUN,analysis
antiquities,NOUN,antiquity
apologies,NOUN,apology
appendices,NOUN,appendix
applies,VERB,apply
are,VERB,be
armies,NOUN,army
arose,VERB,arise
ate,VERB,eat
atrocities,NOUN,atrocity
authorities,NOUN,authority
babies,NOUN,baby
bakeries,NOUN,bakery
bankruptcies,NOUN,bankruptcy
bases,NOUN,basis
batteries,NOUN,battery
beardies,NOUN,beardy
became,VERB,become
been,VERB,be
began,VERB,begin
begun,VERB,begin
bent,VERB,bend
blew,VERB,blow
bodies,NOUN,body
bore,VERB,bear
born,VERB,bear
bought,VERB,buy
broken,VERB,break
broke,VERB,break
buddies,NOUN,buddy
built,VERB,build
butterflies,NOUN,butterfly
came,VERB,come
candies,NOUN,candy
capabilities,NOUN,capability
carries,VERB,carry
casualties,NOUN,casualty
categories,NOUN,category
caught,VERB,catch
cavies,NOUN,cavy
centuries,NOUN,century
chemistries,NOUN,chemistry
children,NOUN,child
chosen,VERB,choose
chose,VERB,choose
cities,NOUN,city
communities,NOUN,community
companies,NOUN,company
complexities,NOUN,complexity
contemporaries,NOUN,contemporary
contingencies,NOUN,contingency
copies,NOUN,copy
counterparties,NOUN,counterparty
counties,NOUN,county
countries,NOUN,country
countrymen,NOUN,countryman
crept,VERB,creep
cries,VERB,cry
criteria,NOUN,criterion
deliveries,NOUN,delivery
deputies,NOUN,deputy
destinies,NOUN,destiny
did,VERB,do
difficulties,NOUN,difficulty
dignitaries,NOUN,dignitary
does,VERB,do
done,VERB,do
drew,VERB,draw
dries,VERB,dry
drove,VERB,drive
dualities,NOUN,duality
duties,NOUN,duty
eaten,VERB,eat
eighties,NOUN,eighty
embassies,NOUN,embassy
emergencies,NOUN,emergency
enemies,NOUN,enemy
enquiries,NOUN,enquiry
entities,NOUN,entity
ethicities,NOUN,ethicity
facilities,NOUN,facility
fallen,VERB,fall
families,NOUN,family
fancies,VERB,fancy
