tense,polarity,foreign,person,voice,verbform,definite,reflex,number,mood,word,prontype,case,degree,pos,numtype,gender
_UNSP,_UNSP,_UNSP,3,_UNSP,fin,_UNSP,_UNSP,plur,ind,deparam,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,t,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,1,_UNSP,fin,_UNSP,_UNSP,plur,ind,iremos,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,america3,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,fonte,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,tr,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,silicon,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,economic,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,helder,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,lexington,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,kitchenete,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,sing,_UNSP,/,_UNSP,_UNSP,_UNSP,PROPN,_UNSP,masc
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,inf,_UNSP,_UNSP,_UNSP,_UNSP,combinar,_UNSP,_UNSP,_UNSP,VERB,_UNSP,_UNSP
_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,_UNSP,plur,_UNSP,sobreviventes,_UNSP,_UNSP,_UNSP,NOUN,_UNSP,masc
