,word,pos,lemma
0,abertas,VERB,abrir
1,aberta,VERB,abrir
2,abertos,VERB,abrir
3,aberto,VERB,abrir
4,abre,VERB,abrir
5,aconteça,VERB,acontecer
6,adicionais,ADJ,adicional
7,admitem,VERB,admitir
8,admite,VERB,admitir
9,adquire,VERB,adquirir
10,advém,VERB,advir
11,adverte,VERB,advertir
12,agem,VERB,agir
13,agradeço,VERB,agradecer
14,álcoois,NOUN,álcool
15,ambientais,ADJ,ambiental
16,ambulatoriais,ADJ,ambulatorial
17,anéis,NOUN,anel
18,animais,NOUN,animal
19,antimísseis,ADJ,antimíssil
20,anuais,ADJ,anual
21,anunciassem,VERB,anunciar
22,apareça,VERB,aparecer
23,aprazíveis,ADJ,aprazível
24,apreendidas,VERB,apreender
25,aprenda,VERB,aprender
26,aprendi,VERB,aprender
27,aprendo,VERB,aprender
28,artesanais,ADJ,artesanal
29,artificiais,ADJ,artificial
30,assista,VERB,assistir
31,assistenciais,ADJ,assistencial
32,assiste,VERB,assistir
33,assuma,VERB,assumir
34,assume,VERB,assumir
35,atendidas,VERB,atender
36,atingem,VERB,atingir
37,atinge,VERB,atingir
38,atinja,VERB,atingir
39,atraem,VERB,atrair
40,atuais,ADJ,atual
41,automóveis,NOUN,automóvel
42,autorais,ADJ,autoral
43,avançassem,VERB,avançar
44,avó,NOUN,avô
45,avós,NOUN,avô
46,banais,ADJ,banal
47,bandinha,NOUN,banda
48,bandinhas,NOUN,banda
49,barriguinha,NOUN,barriga
50,barris,NOUN,barril
51,bilaterais,ADJ,bilateral
52,biodegradáveis,ADJ,biodegradável
53,bissexuais,NOUN,bissexual
54,brevíssimos,ADJ,breve
55,busquem,VERB,buscar
56,caem,VERB,cair
57,caídos,VERB,cair
58,caímos,VERB,cair
59,caíram,VERB,cair
60,caminhonete,NOUN,caminhão
61,campi,NOUN,campus
62,camponeses,NOUN,camponês
63,canais,NOUN,canal
64,capitais,ADJ,capital
65,capitais,NOUN,capital
66,cartagineses,NOUN,cartaginês
67,cartéis,NOUN,cartel
68,cartinhas,NOUN,carta
69,cedidas,VERB,ceder
70,cereais,NOUN,cereal
71,cerebrais,ADJ,cerebral
72,cestinha,NOUN,cesta
73,chinesa,ADJ,chinês
74,chinesa,NOUN,chinês
75,chinesas,ADJ,chinês
76,chineses,NOUN,chinês
77,civis,ADJ,civil
78,civis,NOUN,civil
79,cobertas,VERB,cobrir
80,coberta,VERB,cobrir
81,cobertos,VERB,cobrir
82,colhidas,VERB,colher
83,coloquei,VERB,colocar
84,combustíveis,ADJ,combustível
85,combustíveis,NOUN,combustível
86,comensais,NOUN,comensal
87,comerciais,ADJ,comercial
88,cometidas,VERB,cometer
89,como,VERB,comer
90,compatíveis,ADJ,compatível
91,compete,VERB,competir
92,compõe,VERB,compor
93,composicionais,ADJ,composicional
94,compostos,VERB,compor
95,compôs,VERB,compor
96,compreenda,VERB,compreender
97,comprinhas,NOUN,compra
98,compunham,VERB,compor
99,comunicassem,VERB,comunicar
100,concedidas,VERB,conceder
101,conceituais,ADJ,conceitual
102,conclua,VERB,concluir
103,concluídas,VERB,concluir
104,concluídos,VERB,concluir
105,concluíram,VERB,concluir
106,confere,VERB,conferir
107,confiáveis,ADJ,confiável
